喂喂你叫沈明明。让我报文我姓张。我姓泽泽二十二。好都在哪里呀。 喂喂你叫什么名。王保文啊你是我姓曾。我姓曾嗯是啊。啊住在哪里呀。
你打不了游戏了喜欢打什么游戏电脑游戏。魔兽是不啊。嗯魔兽我觉得很好玩有。那你现在最近在玩什么啊游戏啊。 噢你打不打游戏的喜欢打什么游戏电脑游戏。CS。魔兽我觉得很好玩。那你现在最近在玩什么游戏啊。
打博客上网和别人打我也喜欢你喜欢打什么博客呢。多大牌呀我也我也也喜喜欢我经常打那个升级。升级啊升级比较有意思比较打得比较长时间。就就是吃奔了压分啊。 打扑克上网和别人打我也喜欢你喜欢打什么扑克呢。锄大地呀我也喜欢打不过我经常打那升级。升级呀升级比较有意思比较打的比较长时间。就就是吃分和压分啊。
我知道到时候我教你哦。打不打麻将你打。那赌不赌钱啊你们。一块也算我们要有五毛一一块。 到时我教你。噢打不打麻将啊你。那赌不赌钱啊你们。一块也是啊我们那里五毛一一块。
放假准备去打打工。我像你呢。然后有什么电影看。好不好看有没有那个感觉电影院的感觉在学校呢。 放假啊准备去打打工喽。是啊你呢。噢有什么电影看。好不好看有没有那个感觉电影院的感觉在学校里。
嗯烦死人是不是啊你。电话过了这段时候手机就会是烦人的。是啊这因为这些时候不是时候来打电话那种很最烦人了。你经常在中学的时候呢关机吗。 烦死人是不是。对啊在适当时候手机就是烦死人虽然。是啊这因为这些时候不是时候来打电话那种很最烦人的了。你经常在中学的时候都关机嘛。
关机呀是关不到浮生。还有还有怎么吃。也是不要那么破坏情绪。是啊。 关机呀调到无声嗯。还有还有什么钱。也是啊不要那破坏情绪。是啊。
我在我以前家乡试过不过没那种感觉因为我那家乡电影院很小。有好多没试过大的机场。是啊我也想过没有试过。那有时候同时到了那个感情的时候就是电影也感感受到了。 我我在我以前家乡试过不过没那种感觉因为我那家乡电影院很小了。又又超烂没试过大的剧场。是啊我也想不过没有女呀。那有时候同时到了那种感情的时候就是电影也感感受到
然后就情不自禁啊。我叫黄保文贵姓啊。真啊。曾先生你好。 然后就情不自禁啊。嗯我叫黄保文贵姓啊。什么曾啊。呃曾先生你好。
那我啊我我这样子我就不在学校现在是。对对深圳大学。不错了只是少了一些女生真的。我的工程技术学院。 那我啊我我我就住在学校现在。嗯对对呃深圳大学嘛唉。呃不错了嗯只是少了一些女生了啊。我是工程技术学院唉。
当然好啦。我们是怎么聊呢。就是那我们聊一聊手机的话题吧。它虽然是经你今天对手机防范使用怎么看。 我当然好了。呃我们是怎么聊呢。就是那我们聊聊手机的的话题吧嗯。它虽然是那个今你今天对手机的广泛使用怎么看。
很好我觉得一。就是现在是没手机过我生活。要泡妞也是比较容易。嗯嗯特别在学校因为比较大联系起来还是。 很好我觉得。是现在都没手机过不了生活啊。要泡妞也是比较容易了。嗯特别在学校因为比较大嘛联系起来还是。
没手机根本就没可能很不方便。我那个是比较便宜的。我觉得三星的质量三星那手机那质量比较好了。诺基亚我是听说一掉一掉掉掉两下就烂了。 没手机根本就没可能了很不方便。哎呀我那个是比较便宜了。我觉得三星的质量三星的手机应该质量比较好了。诺基亚我是听说一掉一掉掉掉两下就烂了。
主要是质量好虽然贵了些但质量比较好一点。你现在也是用诺基亚吧。我我伤心的发信息也很快啊。唉呀你知不知道现在那那现在的那个。 主主主要是质量好嗯虽然贵了些但是质量比较好一点了。你现在也是用诺基亚吧唉。我三星的发信息也很快呀。哎呀你知不知道现在那那现在那个。
因为很多网上都是用手机号码申请的那些都手机来付费的。有时候经常给你拿了部手机给别人按两按他妈的他就注册了什么什么东西。嗯有没有试过这种情况。我也不敢谁都不 因为很多网上都是用手机号码申请的而且是付手机来付费的。啊有时经常给拿了部手机给别人按两按他妈的他就注册了什么什么东西的。有没有试过这种情况。我也不敢谁都不敢
唉所以我就觉得应该是如果制定是法律。法律来保障一下这些比较好一点。对呀而且那个别人电信公司的提供那服务服务里面也没有什么什么。是没有限制。 呃所以我就觉得应该是如果制定一些法律。法律来说保障一下这些比较好一点。对呀而且那电那呃电信公司提提供了服务服务里面也没有什么没有什么那个。限没有没有限制了。
反正你申请了他就扣我。啊都三晚了。房租方面的。那个你也算了吧哦。 反正你申请了他就扣啊。啊我上网了啊。方便当然方便了。你也上了吧噢。
哦我泡妞吧泡妞是吧。泡妞聊着看什么。也看也看啊。足球这我就没什么留意了刚才刚才我还在那看少林足球。 噢你泡妞吧泡我。上网聊看什么。也看也看嗯。新片呀这我这我就没什么留意了刚才刚才我还在这里看那那少林足球呢。
我以前没看过听人家说过。是我这就知道电脑效果不太好。周星驰我觉得赵薇很好了。特别是赵薇把她的那些头发剥开的时候看得满脸那是敷着什么。 是我以前没看过但是听人家说过嘛。哎呀是啊呃真的电脑效果不太好。周星驰我觉得赵薇很好了。特别是周星驰把他的那些头发摸开的时候看的满脸的不知道啥搞的。
这也不热。啊听说还有我都还没看到然后她就说小丽这二十年她辛苦你了。后来怎么这一白忘记了。没有啊现在跟你聊啊是啊。 这也不是。啊听说还有我的还没看到然后他还说小莉呀这二十年来辛苦你了。后来那什么什么对白呀我忘记了。没有啊正在跟你聊呀。
你说你如果我们开车的时候啊打电话会怎么样呢会不会不好。我也是这样觉得但是经常也是没办法要电话来也是接的。唉我很在行了就。开车时候骑单车的什么总知道有电话都 你说你如果我们开车的时候打电话会怎么样呢是不是不好。哦我也是这样觉得但是经常也是没办法电话来也是接了。唉我很在行的其实。开车的时候骑单车的时候怎么总之有电话
你呢有没有这经验啊。打游戏我也没什么玩什么游戏啊就是CS啊魔兽啊但是现在也没怎么玩了。能玩了太久什么都不好玩了啊。最近啊我打扑克啊。 你呢有没有这经验。打游戏我也没什么玩什么游戏啊就是CS啊呃魔兽啊但是现在也没什么玩的。那玩了太久什么都不好玩了。最近啊我打扑克嗯。
是吧啊这错到底了。我不会打算结束。我我甚至我怎么听都听不懂的他们怎么怎么飞机什么规矩什么唉呀搞得糊里糊涂。你记得跟我说我也不懂就我。 是啊嗯就锄大地了嗯。我不会打升级呀。我我升级我总的听都听不懂那他们怎么什么规矩什么规矩什么哎哟搞的我糊里糊涂。你现在跟我说我也不懂你。
呃如果如果有机会的话。麻将麻将过年的时候才打的。赌啊一块两块的。现在放假打算去哪里啊。 呃有如果有机会的话。麻将啊麻将过年时候才打的。赌啊一块两块的都赌了。现在放假打算去哪里啊嗯。
哇我也在我说学习校里面呆着没事干就喜欢去电影院看看电影。学校也有播放那电影啊。啊好像唔叫那个叫什么有几部的我也不我也忘了名字。就是那时候去看电电影的时候他 我啊我也在我在学校里面呆着没事干吗就喜欢去电影院看看电影了。学校也有电那播放那电影嘛。嗯好嗯叫那个叫什么有几部的我也我也也忘了名字。哎哟就是那时候去看电影的
就是啊我看他的这种有个最精彩的那个画面的时候男女主角。那你主角的呢为了分离死别之后就一个电话过来了。就是那个车子没素质嘛进去电影里面看电影也是他的手机不会 就是了我看有个最精彩的那画面的时候那男女主角。男女主角在那在那生离死别的时候就一个电话过来了哇。就是嘛没素质啊进入那电影院里面看电影也是都开手机不会关呢。是
基本上只要是在什么有什么会要开什么上课的时候肯定是关了。啊也不是关键是定义嘛。叫到无声吗反正我自己知道就行了。我也没什么了但是如果真的能制定点法律的话。 噢基本上要只要是在什么有什么会要开呀什么上课的时候肯定是关的了。呃也不是关机调静音嘛嗯。嗯调到无声嘛反正我自己知道就行了。我也没什么了但是如果呢真的能制定法
或者罚款的话也在电影院里面禁止使用电话的话我也觉得比较好的。要是。因为在电电影里面看电影也是不同的不像在那个在家里边看的。你在电脑那个上面或者上面然后那个 或者罚款的话那些也呃在电影院里面禁止使用电话的话那我也觉得比较好的。就是嘛。因为在电影院里面看电影不同在不像在在家里面看了。你在电影或者环绕影然后这么大的屏
安静的环境里面你很容易投入到戏里面去。是得呀有没有试过。我唉呀呀。那你找机会应该试一试嘛是啊。 安静的环境里面你肯定会投入到戏里面去。对了有没有试过。哎呀。那你找机会应该试一试嘛。
哎呀不一定要女孩跟女孩子一起去的嘛。反正看电影的时候你们就不能打情骂俏对吧。文华能听到吗。啊哎哟。 哎呀不一定要女跟女孩子一起去的嘛。反正看电影的时候你们又不能打情骂俏对吧。荣华能听到吗。啊哎哟。
唉咱俩就也是像他们一样念点东西得了。你没找点资料啊念念。我这手累不告诉你吧就是那个东北老工人基地。哎呀妈呀这个能有啥意思全是这么枯燥的。 唉咱俩就也是像他们一样念点东西得了。你没找点资料啊念念。我的手里我告诉你吧就是那个东北老工业基地。唉呀妈呀这个能有啥意思啊全都枯燥的。
你说你想听哪方面的吧。就振兴东北老工业基地的又这个又那个的。有什么比较优势呀什么结构优化战略呀。要什么社会信用体系呀。 你说你想听哪方面的吧。就振兴东北老工业基地的又这个又那个的。又什么比较优势啊什么结构优化战略呀。要什么社会信用体系呀。
来点优势呀。我看看都有啥优势啊找找。工业结构优势人力资本优势。基础设施优势呃。 存在优势啊。我看都有啥优势啊找找。工业结构优势人力资本优势。基础设施优势。
报纸不在你写的吗念念正好金庸没看报纸啊。行你给我念念吧。不说必须得聊时事的吗。啊那你就来点花边新闻吧。 呃报纸不在你寝了吗念念正好今早没看报纸哪。啊行你给我念念吧。不说必须得聊时事的吗。啊那你就来点花边新闻吧。
啊行。啊对这个我就没看着。是我也没看过今天的正好是。张惠妹挺狂啊。张慧妹挺疯啊。 啊行。啊对这个我就没看着。是啊我也没看过今天的正好念。唉张惠妹挺狂啊。
按指定式。但是大陆市场大呀。对俺今天有没有那个。就是说台湾那个用武器了又什么的就跟大陆对立的那个新闻。 那指定是。但是大陆市场大呀。对唉今天有没有那个。就是说台湾那个又武器啦又什么的就跟大陆对立的那个新闻。
对呀就像前几天不说又有什么美国又提供武器。啊工头怎么的。是我没太细看但是寻思也得知道一点。看美国布什有啥新东西。 对呀前几天不说又有什么美国要提供武器呀。啊工头怎么的。是我也没太细看但是寻思也得知道个点啊。看美国布什有啥新动向。
没有天报纸没看啊。什么意思啊他没参加高考。唉小丽啊能能能。怎么样了最近。 没有今天报纸没看哪啊。什么意思他没参加高考。喂小丽呀能能能。怎么样啊最近。
好久没见了。毛毛现在。行你先说吧我听着呢。你先问你找没找啊。 好久没见啦。忙吗现在。行你先说吧我听着呢。你先说你找没找哇。
你别说吧你有有啥资料呀我想碰。东北老公基地呀你挑挑有意思的念念呗。行不挑点有意意思念念。呃东北那老公公地都有什么呀。 你先说吧你又用啥资料啊我想。东北老工业基地呀你挑点有有意思的念念呗。行不挑点有意思的念念。东北老工业基地都有什么呀。
都有些什么呀都说了些什什么都。你就来点优势吧念念那个。呃对。二四。 都有都有些什么呀都说了些什么呀都。那就来点优势吧你念念那个。呃对。呃嗯。
今天报纸啊。今年报纸我还真没有但是这个有一个那什么。就是往天的。我随便找了一个。 今天报纸啊。今天报纸我还真没有但是这个有一个那什么。就是往天的。我随便找了一个。
行我看看它有啥啊。这你想听啥呀什么什么样子的。娱乐的还是。我看哪个有意思呢。 呃行我看看都有啥啊。你想听啥呀什么什么样子的。娱乐的还是。哪个有意思的。
对呀无所谓哪个都可以。你就是有什么你就说什么就行。哎呀我二十七晚钟。四哥我看看我看那个。 对呀唉唉无所谓哪个都可以。就是有什么你就说什么就行。哎呀新闻。我看我看看我看看啊那个。
我跟你这个我还真没看过我给你念这个吧。都是什么张惠妹凤波石墨的人。我给我给您念念啊。这那个这几期报纸我看挺有意思的。 啊我给你唉这个我还真没看过我给你念念这个吧。说什么张惠妹风波始末那个。我我给你念念噢。是那个这哪期报纸我看挺有意思的。
今天报纸啊我这我还没见过。再念着。六月十二日台湾歌手张惠妹在杭州为康师傅兵工茶做宣传。一群大学生因怀疑她支持台独而进行抵制。 呀今天报纸啊我说咋没见过呀。随便聊。六月十二日台湾歌手张惠妹在杭州为康师傅冰红荼做宣传。一群大学生因怀疑她支持台独而进行抵制。
致使张惠妹登堂登台献艺术组此举引来台湾网民反弹。他们称也要抵制赵魏耐王妃等大陆艺人。台独势力。则借机火上浇油制造两岸歌迷对立。 致使张惠妹登台登台献艺受阻以来台湾网民反弹。他们称也要抵制赵薇那英王菲等大陆艺人。台独势力。则呃借机火上浇油制造两岸歌迷对立。
这使得张惠妹分波引起各方关注。她说大陆部分网友抵制张惠妍。据岛内媒体披露张惠蓓在杭州遭抵制的主要原因是。网络上传言她曾对大陆歌迷公开表示你是中国人我是台湾 这使得张惠妹风波引起各方关注。她说呃大陆部分网友抵制张惠妹。而据岛内媒体披露张惠妹在杭州遭抵制的主要原因是。网络上传言她曾对大陆歌迷公开表示你是中国人我是台
我是不会影响我的事业的尽管赵惠妹否认说过这些话但部分网民还是难以谅解。并把她归类为绿色艺人。早在青岛进行宣传时边有网民投稿红红布条进行抗议一些民众还在网上 是不会影响我的事业的尽管张惠妹否认说过这些话但部分网民还是难以谅解。并把她归类为绿色艺人。早在青岛进行宣传时便有网民头绑红红布条进行抗议一些民众还有网上留言
支持台独是要付出代价的大陆歌迷不要不要花钱支持这个台独。在张惠美即将赴杭州参加活动前又有部分大学生登录浙江小熊论坛网站。号召群众抗议她在杭州唔参加那个六月 支持台独是要付出代价的大陆歌迷不要花钱支持台独。在张惠妹即将赴杭州参加活动前又有部分大学生登陆浙江小型论坛网站。号召群众抗议她在杭州参加活动六月十二日上午该
促统一的爱国行动并呼吁大家远离这些艺人。哦他。他可能是说过那些话后来就不承认了呗。然后再说后来还说什么。 促统一的爱国行动并呼吁大家远离这些艺人。呃而她。她可能是说过那些话后来不承认了呗。然后她说后来还说什么。
六月幺十二日上午该网站还全的这这就这就完事了。嗯该网页同时要求大家不要对艺人进行人身攻击。更要避免与歌迷发生冲突由于王民的抵制张惠妹。未能进入活动会场十三 六月二十二日上午该网站还强调呃这这就这就完事了。呃该网站同时要求大家不要对艺人进行人身攻击。更要避免与歌迷发生冲突由于网民的抵制张惠妹。未能进入活动会场十三
但希望事情不要再扩大了。排毒分子借机大作文章张辉涉案风波立即引起不少。不明真相的台湾网民的反弹。他们要求张惠敏不要在去大陆演唱了并称。 但希望事情不要再扩大。台独分子借机大做文章张惠妹文风波立即引起不少。不明真相的台湾网民的反弹。他们要求张惠妹不要再去大陆演唱了并称。
对对岸歌迷如此对待台湾歌手台湾人也要抵制大陆艺人。赵薇那英甚至王妃等均遭点名。另有传言大陆早已准备好所谓的绿色艺人名单。不过也有许多理性网民指出这种抵制毫 对岸歌迷如此对待台湾歌手台湾人也要抵制大陆艺人。赵薇那英甚至王菲等均遭点名。又有传言称大陆早已准备好所谓的绿色艺人名单。不过也有许多理性网民指出这种抵制毫无
呼吁一两岸网民不要继续对立下去。如果说网民的言行只是一时冲动的话那么。排毒分子的猖獗却不能不让人警惕。六月十四日民进党文宣部主任郑文灿。 并呼吁两岸网民不要继续对立下去。如果说网民的言行只是一时冲动的话那么。台独分子的放话却不能不让人警惕。六月十四日民进党文宣部主任郑文汉。
故意歪曲事实说张惠妹造中国点名为挺律。挺律这人就称这种做法。只会适得其反而一项卖卖力鼓吹台独的台独党。也借机攻击大陆该党立法立法院什么团。 故意歪曲事实说张惠妹遭中国点名为。艺人就称这种做法。只会适得其反而一向卖卖力鼓吹台独的台前党。也借机攻击大陆该党立法立法院什么传。
什么党团副副总啊着急着急说招待所是一种。由遭中国取消演出是中国政治与民间交流不分的结果。世界对中国的评价将恶化台湾新闻局还威胁说。大陆歌唱演员赴台湾演出可 什么党团副召副总啊召集召集人说张惠妹是因。由遭中国取消演出是中国政治与民间交流不分的结果。世界对中国的感观将恶化台湾新闻局还威胁说。大陆歌唱演员赴台湾演出可
全球华语流行歌曲排行榜原定九月四日在台湾举行。颁奖典礼主办单位邀请了。胡彦斌和孙楠等十余位大陆歌手以及北京上海和广州。广播从业者总计四十余人但日前台湾新闻 全球华语流行歌曲排行榜原定九月四日在台湾举行。颁奖典礼主办单位已邀请了。胡彦彬和孙楠等十余位大陆歌手以及北京上海和广州。呃广播业者总计四十余人但日前台湾新闻
抵制台湾艺人台湾方面有可能强势反弹。什么什么台湾什么这要是真搞对立的话。说什么呃台湾就是损失更大他说。为什么呀我那你和你大路人要是去台湾以后不也是受阻吗。 抵制台湾艺人台湾方面有可能强势反弹。什么什么台湾艺什么这要是真搞对立的话。说说什么台湾艺人损失更大他说。为什么呀我我那你说你大陆人要是去台湾以后不也是受阻吗
那倒是啊那倒也是。那肯定是赵慧敏有的一种说法要不然章子怡也不得那么说。跟大陆对立的新闻。哦哦哦我看看啊。 那倒是哈那倒是。那肯定是张惠妹有那种说法要不人家网民也不能那么说啊。跟大陆对立的新闻。呃呃呃我看看啊。
这是不是有一个台湾爱国者导弹演习。这有这个嘛什么台湾民众预工投否决军购。说什么什么说台湾你是说这个吧。否决唔唔否决就军购军事好像够什么玩意。 这是不有有一个台是爱国者导弹演习。这有这个嘛什么台民众欲公公投否决军购。说什么台湾你是你是说这个吧啊。呃否决军购军事好像购购什么玩意。
就说台湾的教育改革环保和学生等多个民间团体计划来十九日发起反军购大游行。这些团体认为六千多亿元新台币的费用可以。补助台湾一百万名弱势民众一百年的滞保费。提 就说台湾的教育改革环保和学生等多个民间团体结合在十九日发起反军购大游行。这些团体认为六千多亿元新台币的费用可以。补助台湾一百万名弱势名众一百年的健保费。提供
或者为低收入户提供九百年的学生生活补助。但学生当局却将他用在未经深入讨论的军购上好像是军事购买吧。实际上是不是那个我好几天都没看报纸了。他这个怎么说了点这 或者为低收入户提供九百年的学生生活补助。但是学生当局却将它用在未经深入讨论的军购上好像是军事购买吧。实在是不是那个我好几天都没看报纸了。呃它就什么说了点这个
两岸文化交流密切这也没啥了我看。锁定啦我看啊别的这张报纸大家都很累的。喊什么呀。你看这个了吧有哥。 两岸文化交流密切这也没啥了我看这。我看啊别的这张报纸大家都很累了。喊什么呀。唉你看这个了吗有个。
舞弊案主谋为法律与法律系高分差这个。说当今年的他说当年以五百四十多分考入西北民族大学法律学院。完了警方预计于今日上午将其押回镇平。湛江湛江并未参加高考。 舞弊案主谋为法律为法律系高分生这个。就说当呃今天的就是当年以五百四十多分考入西北民族大学法律系。完了警方预计于今日上午将其押回镇平。绍江绍江并未参加高考。
他说这什么玩意他叫贾树川幕后当枪手断送大好前程。我给你念念。他说记者从河南省南阳市公安局获悉河南呃高考舞弊案的主使者。贾树荫就是一名法律系的高分学生。 他说这什么玩意他说假如幕后当枪手断送大好前程。我给我给你念念啊。他说记者从河南省南阳市公安局获息河南省高考舞弊案的主使者。贾树川竟是一名法律系的高分学生。
事物热记者可靠从可靠渠道获悉。此人是西北民族大学法律系大二学生。兰州警方于将其押回河南镇平为保证。押送安全镇平县公安局又派出两名民警协助事先。 十五日记者可靠从可靠渠道获息。此人是西北民族大学法律系大二学生。兰州警方已将其押回河南镇平为保证。押送安全镇平县公安局又派出两名民警协助事先。
赶往兰州的两名民警一同押送贾树川回镇平。他说五百四十多分考入大学。当时记者就是采访他这个以前上过他课这个老师完了。向记者回忆了一下这个贾树林上课时的一个片 赶往兰州的两名民警一同押送贾树川回镇平。他说五百四十多分考入大学呃。当记者就是采访他这个以前上过他课这个老师完他。向记者回忆了一下这个贾树川上课时的一个片断
他说他给人的印象是非常机敏的反应特别快特别喜欢提问。属于那种刨根问底类型的人每次上课是。他都听讲很认真如果遇到一些难题或者疑点的。还没等同学反应过来的时候 他说他给人的印象是非常机敏的反应特别快特别喜欢提问。属于那种刨根问底类型的人每次上课时。他都听讲很认真如果遇到一些难题或者疑点的他。还没等同学反应过来的时候
提问是总是严谨一些往往喜欢刨根问底。直到问题彻底搞清为止这位老师回忆到假如说他学习成绩很好。呃如果。喂什么。 提问时总是言简意赅往往喜欢刨根问底。直到问题彻底搞清为止这位老师回忆到贾树川的学习成绩很好。呃如果。喂有人吗。
嗯嗯你是。我是王毅。你请问你是不是。你叫刘毅啊你好。 呃你是。我是王毅。你请问你是。你叫刘毅呀呃你好啊。
你对中古历史哪个最熟悉哪段历史对你熟悉啊。秦秦始皇那一代。嗯你那。那你就谈谈你对秦始王的看法。 你对中国历史哪个最熟悉呀哪哪段历史最熟悉呀。秦秦始皇那代呀。你那。那你就谈谈你对秦始皇的看法。
还有吗。我认为中国历史我认认为是中国的历史最辉煌的时段呢。应该是以最辉最辉的应该在唐朝吧。唐唐朝嗯。 可以吗。噢我认为啊中国历史我我认为中国历史最辉煌的时段哪。应该是也最辉煌的应该是唐朝吧。唐唐朝呃。
那时候那个唐李世明在位的时候嘛那时比较辉煌。清朝啊。清清朝康熙。秦朝。 那时候那个唐李世民在位的时候那时候比较辉煌啊。啊清朝啊。嗯清朝康熙。秦朝吧。
秦朝那也那也是啊。他毕竟是中国第一个统一全国的一个朝代嘛。嗯秦始皇还挺挺那个啥呗。挺挺有能力的。 秦朝呃那也那也是啊。他毕竟是中国第一个统统一全国的一个朝代嘛啊。呃秦始皇还挺挺那个啥的。挺呃挺有能力的。
他能够将六国统一了。你是敬佩他呢还是讨厌他呢。金飞。但是你了不了解。 他能够将六国统一了。你是敬佩他呢还是讨厌他呢。敬佩。呃但你你了不了解。
为啥什么原因造成中国现在成为一个不发达国家呢。从历史方面。那也是中国的封建时代那不可能谁说把自己的财产全部拿出来平摊呢。这是错的。 为啥什么原因造成中国现在成为一个不发达国家呢。从那历史方面。那也是中像封建时代那不可能谁说把自己的财产全部拿出来平摊的。这是不现实的噢。
你讨厌哪个君主啊哪个朝代的呀。清朝。嗯也也是。在封建时代他要统治一下也不容易。 你讨厌哪个君主啊哪个朝代的呀。垂帘听政噢。嗯也也是。在封建时代她要统治一下也不也不容易啊。
现在社会主义失代了该为改变一下观点了。也难怪现在也没有一个没很少有女人掌握一个。当一个国家主席啊国家总统啊很少啊。那你们也该抱陪发搅一搅了。 现在社会主义时代了该改变一下观点了啊。也难怪现在也也没有一个没没有很少有有人掌握一个。当一个国家主席呀国家总统啊很少啊。那你们也该到。
看过。我最敬佩的皇帝君主还是还是清朝那个康熙呢。唐太中。嗯他从他继位那么小。 看过呀。我敬我敬佩的皇帝君主还是还是清朝那个康熙呢。康熙。呃他从他继位那么小。
你看他把国家治理的也挺好的。那肯定的。稳定他的江山。唉唉。 你看他把国家治理的也挺好的。那肯定的。稳定他的江山。喂唉。
我叫刘玉毅啊。我叫玉毅。呃我不太出去就是对中国历史吧比较熟悉一点。但是比较在最熟悉的应该是秦始皇的那秦朝那一代。 我叫刘毅呀。我叫刘毅。呃我不太熟悉就是对中国历史吧比较熟悉一点。那是比较在最熟悉的应该是秦始皇的那秦朝那一代。
对因为我毕竟。关于那边那边的书看得比较多一点。比如像那个寻秦记之类的书。秦始皇这个人这人怎么说呢。 对因为我毕竟。关于那个那边那边的书看得比较多一点。比如像那个寻秦记之类的书。秦始皇这个人这个人怎么说呢。
就一个都是我挺好但是呢这人比较残暴。这个。是他的几个缺点吧但是总的来说他是中国一代历史历史人物。对中国做出了很大的贡献这是不可磨灭的我就觉得他非常总得来说 就一个字说秦始皇好但是这人呀比较残暴。呃这这个。是他的一个缺点吧但是总的来说他是中国一代历史历史人物。对中国做出了很大的贡献这是不可磨灭的呃我就觉得他非常总
因为基本上都说完了。还有什么要问的吗。啊那那又是。唐朝是属于。 呃因基本上都说完了。还有什么要问的吗。呃那那个是。唐朝是属于。
哪个朝代最强盛这个是应该这个里面应该有唐朝。那在最辉煌的时代的话应该是属秦朝吧。因为毕竟西国统一了之后有中国这些大国家了嘛。秦朝。 哪个朝代最强盛这个是应该这个里面应该有唐朝。那在最辉煌的时代的话应该是属秦朝吧。因为毕竟七国统一了最后有中国这些大国家了嘛。秦朝。
秦朝。那就是中国历史上一段很大的事。当然敬佩了。毕竟在那场战争中死了很多人但是毕竟一个国家统一了嘛。 我秦朝。那就是中国历史上一代呀很大的事啊。当然精彩了。毕竟在那场战争中死了很多人但是毕竟一个国家统一了嘛。
那流血流得值。然后论说哪个朝代最强盛的话。应该是属那个唐朝。当初那时候是世界上都举世闻名的哪个国家都知道。 那流血流的值。然后论说哪个朝代最强盛的话。应该是属那个唐朝。唐朝那时候是世界上都举世闻名的哪个国家都知道。
也并且也非常强盛并且强大哪个国家都畏惧唐朝。所以我觉得唐朝是应该。在中国历史上最强盛的一个时代。从历史方面说的话中国走封建的路太长了。 也并并且也非常强盛相当强大哪个国家都畏惧唐朝。所以我觉得唐朝是应该。在中国历史上最强盛的一个时代。呃从历史方面说的话中国走封建的路太长了。
封建路太长一些地主都把财产都拿着自己拿着。你说这么大一个国家。一个人拿着那么多钱财你说那国家能发展吗。应该把钱财都平均的划分。 封建路太长一些地土吧都把财产都拿着自己拿在。你说这么大一个国家。一个人拿到那么多钱财你说这国家能发展吗。应该把钱财都平均都划划分。
每个人都有钱都有自己的事能干那才国家一个有利的发展。一个人拿了那么多钱操一个可以出去玩。也就一个一个发展那中国大家没有希望发展了。每个每人都到一定程度的钱 每个人都有钱都有能自己的事能干那才国家也有一定也有一定的发展。一个人拿了那么多钱一个人一个人给吃完。一一个人发展那中国当然没有希望发展了。每个人都到一定程度
可以做自己想干的时候或者说自己喜欢想想愿意干的事的事经过才能发展嘛。你看你从电视上也看过哪个奉天子的那个。君主啊或者那个地主啊把自己的钱愿意花给别人。即使 可以做自己想干的时候或者说自己想干想愿意干这事的时候中国才能发展嘛。你看你从电视上也看过哪个封封建时候的那个。君主啊或者那个地土啊把自己的钱愿意掏给别人。即
